Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	count
ENSG00000185420	TCGA-LUSC	AC018720.10	0	0	0	0	4
ENSG00000165125	TCGA-LUSC	ZNF3	0	0	0	0	4
ENSG00000267618	TCGA-LUSC	SLC22A17	0	0	0	0	4
ENSG00000059769	TCGA-LUSC	CDR2	0	0	0	0	4
ENSG00000170613	TCGA-LUSC	IFNW1	0	0	0	0	4
ENSG00000138439	TCGA-LUSC	FBXO9	0	0	0	0	4
ENSG00000198336	TCGA-LUSC	IL17RD	0	0	0	0	4
ENSG00000221986	TCGA-LUSC	HSD17B6	0	0	0	0	4
ENSG00000163563	TCGA-LUSC	RNF130	0	0	0	0	4
ENSG00000181904	TCGA-LUSC	CEP250	0	0	0	0	4
ENSG00000231861	TCGA-LUSC	RPH3AL	0	0	0	0	4
ENSG00000101000	TCGA-LUSC	HTR3A	0	0	0	0	4
ENSG00000153187	TCGA-LUSC	CCDC146	0	0	0	0	4
ENSG00000149547	TCGA-LUSC	TPK1	0	0	0	0	4
ENSG00000149089	TCGA-OV	OR9G4	0	0	0	0	4
ENSG00000167397	TCGA-OV	ARHGAP6	0	0	0	0	4
ENSG00000186184	TCGA-PRAD	C9orf89	0	0	0	0	4
ENSG00000196660	TCGA-BLCA	CSE1L	0	0	0	0	4
ENSG00000204525	TCGA-LGG	VPS13D	0	0	0	0	4
ENSG00000253873	TCGA-LGG	FILIP1L	0	0	0	0	4
ENSG00000203778	TCGA-LGG	TNIP2	0	0	0	0	4
ENSG00000108242	TCGA-LGG	IL2RA	0	0	0	0	4
ENSG00000108510	TCGA-LGG	KPNA2	0	0	0	0	4
ENSG00000172824	TCGA-LGG	PPP1R7	0	0	0	0	4
ENSG00000198033	TCGA-LGG	ZNF311	0	0	0	0	4
ENSG00000169375	TCGA-LGG	DMKN	0	0	0	0	4
ENSG00000146453	TCGA-LGG	GINS3	0	0	0	0	4
ENSG00000142233	TCGA-BLCA	H3C10	0	0	0	0	4
ENSG00000171056	TCGA-LGG	SQSTM1	0	0	0	0	4
ENSG00000257743	TCGA-BLCA	SLITRK2	0	0	0	0	4
ENSG00000160404	TCGA-BLCA	KATNA1	0	0	0	0	4
ENSG00000164294	TCGA-BLCA	TBC1D30	0	0	0	0	4
ENSG00000135272	TCGA-BLCA	HMG20B	0	0	0	0	4
ENSG00000185760	TCGA-BLCA	MYL3	0	0	0	0	4
ENSG00000008394	TCGA-BLCA	DEFB104B	0	0	0	0	4
ENSG00000181240	TCGA-BLCA	TM4SF4	0	0	0	0	4
ENSG00000005471	TCGA-BLCA	MRPL53	0	0	0	0	4
ENSG00000133265	TCGA-BLCA	GRK6	0	0	0	0	4
ENSG00000128039	TCGA-LGG	WIPF1	0	0	0	0	4
ENSG00000149761	TCGA-LGG	PROCR	0	0	0	0	4
ENSG00000137841	TCGA-OV	DNAH7	0	0	0	0	4
ENSG00000105388	TCGA-BLCA	SPTBN5	0	0	0	0	4
ENSG00000196860	TCGA-BLCA	PIP5K1C	0	0	0	0	4
ENSG00000143756	TCGA-BLCA	ZNF513	0	0	0	0	4
ENSG00000102575	TCGA-BLCA	UGT1A7	0	0	0	0	4
ENSG00000014123	TCGA-BLCA	PEF1	0	0	0	0	4
ENSG00000005469	TCGA-BLCA	KPNA1	0	0	0	0	4
ENSG00000167840	TCGA-BLCA	IFNA13	0	0	0	0	4
ENSG00000187987	TCGA-BLCA	OR52E8	0	0	0	0	4
ENSG00000197217	TCGA-BLCA	GON4L	0	0	0	0	4
ENSG00000287080	TCGA-BLCA	STS	0	0	0	0	4
ENSG00000023318	TCGA-BLCA	C1orf105	0	0	0	0	4
ENSG00000145839	TCGA-BLCA	ZBED2	0	0	0	0	4
ENSG00000085978	TCGA-BLCA	SPINK6	0	0	0	0	4
ENSG00000171811	TCGA-BLCA	KIF12	0	0	0	0	4
ENSG00000100336	TCGA-BLCA	DFFB	0	0	0	0	4
ENSG00000173548	TCGA-BLCA	OR4F29	0	0	0	0	4
ENSG00000112972	TCGA-BLCA	NDST1	0	0	0	0	4
ENSG00000166411	TCGA-BLCA	PIK3C2A	0	0	0	0	4
ENSG00000130545	TCGA-BLCA	TNP2	0	0	0	0	4
ENSG00000046647	TCGA-BLCA	KCNK12	0	0	0	0	4
ENSG00000096264	TCGA-BLCA	SLC35D1	0	0	0	0	4
ENSG00000138642	TCGA-BLCA	BTN2A2	0	0	0	0	4
ENSG00000028277	TCGA-DLBC	POU2F2	1	1	0	0	4
ENSG00000126903	TCGA-DLBC	ADH1B	0	0	0	0	4
ENSG00000101276	TCGA-OV	LOXL1	0	0	0	0	4
ENSG00000178297	TCGA-BLCA	DVL2	0	0	0	0	4
ENSG00000100453	TCGA-BLCA	ARPC1A	0	0	0	0	4
ENSG00000130724	TCGA-BLCA	SIX6	0	0	0	0	4
ENSG00000204070	TCGA-BLCA	AL135905.2	0	0	0	0	4
ENSG00000163637	TCGA-OV	VRK2	0	0	0	0	4
ENSG00000120254	TCGA-OV	TTC25	0	0	0	0	4
ENSG00000105675	TCGA-OV	ACR	0	0	0	0	4
ENSG00000132326	TCGA-OV	DDX50	0	0	0	0	4
ENSG00000106392	TCGA-OV	KRT86	0	0	0	0	4
ENSG00000101166	TCGA-OV	MRP63	0	0	0	0	4
ENSG00000173285	TCGA-DLBC	SLC25A25	0	0	0	0	4
ENSG00000181885	TCGA-OV	ZC4H2	0	0	0	0	4
ENSG00000198742	TCGA-OV	PTGES3	0	0	0	0	4
ENSG00000172457	TCGA-OV	ZFP69	0	0	0	0	4
ENSG00000120616	TCGA-OV	RASSF2	0	0	0	0	4
ENSG00000182768	TCGA-OV	PLEKHD1	0	0	0	0	4
ENSG00000163138	TCGA-OV	KISS1	0	0	0	0	4
ENSG00000127947	TCGA-OV	SAV1	0	0	0	0	4
ENSG00000135164	TCGA-OV	TAAR2	0	0	0	0	4
ENSG00000117748	TCGA-OV	MRPS18C	0	0	0	0	4
ENSG00000262660	TCGA-BLCA	CHRNB4	0	0	0	0	4
ENSG00000135678	TCGA-BLCA	PNLDC1	0	0	0	0	4
ENSG00000083828	TCGA-BLCA	CIAPIN1	0	0	0	0	4
ENSG00000171714	TCGA-BLCA	C17orf62	0	0	0	0	4
ENSG00000162062	TCGA-DLBC	NIM1K	0	0	0	0	4
ENSG00000070756	TCGA-DLBC	PABPC1	1	1	0	0	4
ENSG00000162772	TCGA-DLBC	PRSS23	0	0	0	0	4
ENSG00000136152	TCGA-DLBC	APOA2	0	0	0	0	4
ENSG00000128908	TCGA-DLBC	INO80	1	0	0	0	4
ENSG00000163754	TCGA-DLBC	CYP2A7	0	0	0	0	4
ENSG00000137193	TCGA-DLBC	PIM1	1	1	0	0	4
ENSG00000125846	TCGA-DLBC	DIRC1	0	0	0	0	4
ENSG00000105793	TCGA-DLBC	GDAP1L1	0	0	0	0	4
ENSG00000135111	TCGA-DLBC	TBX3	1	1	0	0	4
ENSG00000136250	TCGA-DLBC	INIP	0	0	0	0	4
ENSG00000205899	TCGA-LUSC	SAMD12	0	0	0	0	4
ENSG00000169217	TCGA-LUSC	R3HDML	0	0	0	0	4
ENSG00000136527	TCGA-LUSC	RFC4	0	0	0	0	4
ENSG00000145375	TCGA-DLBC	CDH12	0	0	0	0	4
ENSG00000084207	TCGA-BLCA	RAPH1	0	0	0	0	4
ENSG00000214753	TCGA-BLCA	NLRP8	0	0	0	0	4
ENSG00000137976	TCGA-BLCA	GZMM	0	0	0	0	4
ENSG00000257365	TCGA-BLCA	OR7D2	0	0	0	0	4
ENSG00000162618	TCGA-PRAD	OR51E1	0	0	0	0	4
ENSG00000142875	TCGA-PRAD	ABCB7	0	0	0	0	4
ENSG00000007520	TCGA-PAAD	NPIPA3	0	0	0	0	4
ENSG00000173253	TCGA-UCEC	CDC25C	0	0	0	0	4
ENSG00000142538	TCGA-UCEC	PCDH12	0	0	0	0	4
ENSG00000184465	TCGA-UCEC	ODC1	0	0	0	0	4
ENSG00000126391	TCGA-UCEC	CCDC137	0	0	0	0	4
ENSG00000096746	TCGA-UCEC	ZNF541	0	0	0	0	4
ENSG00000080189	TCGA-UCEC	OAZ1	0	0	0	0	4
ENSG00000183549	TCGA-UCEC	PLEKHM2	0	0	0	0	4
ENSG00000087087	TCGA-UCEC	CNTLN	0	0	0	0	4
ENSG00000068308	TCGA-UCEC	NBPF12	0	0	0	0	4
ENSG00000173421	TCGA-UCEC	MRGPRE	0	0	0	0	4
ENSG00000268629	TCGA-UCEC	SLC18A3	0	0	0	0	4
ENSG00000183463	TCGA-UCEC	DIRAS1	0	0	0	0	4
ENSG00000106733	TCGA-UCEC	PTPLA	0	0	0	0	4
ENSG00000129472	TCGA-UCEC	SH3YL1	0	0	0	0	4
ENSG00000135299	TCGA-UCEC	HEATR6	0	0	0	0	4
ENSG00000104879	TCGA-UCEC	SLC30A1	0	0	0	0	4
ENSG00000111203	TCGA-UCEC	MOCOS	0	0	0	0	4
ENSG00000123594	TCGA-UCEC	CDC26	0	0	0	0	4
ENSG00000159674	TCGA-UCEC	PGM2L1	0	0	0	0	4
ENSG00000006747	TCGA-UCEC	OR10G7	0	0	0	0	4
ENSG00000139977	TCGA-UCEC	GBP2	0	0	0	0	4
ENSG00000163807	TCGA-UCEC	MMP15	0	0	0	0	4
ENSG00000221932	TCGA-UCEC	TCAP	0	0	0	0	4
ENSG00000127526	TCGA-OV	GAB3	0	0	0	0	4
ENSG00000143603	TCGA-BLCA	ZNRF1	0	0	0	0	4
ENSG00000164934	TCGA-OV	CBWD2	0	0	0	0	4
ENSG00000139133	TCGA-OV	OR2G3	0	0	0	0	4
ENSG00000103375	TCGA-OV	SERPINA5	0	0	0	0	4
ENSG00000141627	TCGA-OV	KRTAP24-1	0	0	0	0	4
ENSG00000136487	TCGA-OV	AGA	0	0	0	0	4
ENSG00000273155	TCGA-OV	HEPN1	0	0	0	0	4
ENSG00000176299	TCGA-OV	SYDE2	0	0	0	0	4
ENSG00000169429	TCGA-OV	MEF2A	0	0	0	0	4
ENSG00000176454	TCGA-BLCA	GBX1	0	0	0	0	4
ENSG00000151322	TCGA-BLCA	TMEM191B	0	0	0	0	4
ENSG00000105136	TCGA-UCEC	RPS15	0	0	0	0	4
ENSG00000054803	TCGA-LGG	ST6GALNAC1	0	0	0	0	4
ENSG00000100242	TCGA-LGG	DLG3	0	0	0	0	4
ENSG00000161638	TCGA-LGG	FCHO2	0	0	0	0	4
ENSG00000006194	TCGA-LGG	GNRH2	0	0	0	0	4
ENSG00000138629	TCGA-LGG	CRTAP	0	0	0	0	4
ENSG00000103051	TCGA-LGG	FEM1C	0	0	0	0	4
ENSG00000267796	TCGA-LGG	IFIT1B	0	0	0	0	4
ENSG00000057294	TCGA-UCEC	TRH	0	0	0	0	4
ENSG00000255408	TCGA-UCEC	CNIH3	0	0	0	0	4
ENSG00000109501	TCGA-UCEC	HMX3	0	0	0	0	4
ENSG00000158246	TCGA-UCEC	CA2	0	0	0	0	4
ENSG00000164104	TCGA-UCEC	ERBB2IP	0	0	0	0	4
ENSG00000100099	TCGA-BLCA	C6orf15	0	0	0	0	4
ENSG00000012223	TCGA-LGG	DENND1A	0	0	0	0	4
ENSG00000134851	TCGA-BLCA	MMP11	0	0	0	0	4
ENSG00000164649	TCGA-BLCA	H3C7	0	0	0	0	4
ENSG00000136169	TCGA-BLCA	NKIRAS2	0	0	0	0	4
ENSG00000114388	TCGA-BLCA	RAB33A	0	0	0	0	4
ENSG00000197566	TCGA-BLCA	MBD3L1	0	0	0	0	4
ENSG00000154957	TCGA-BLCA	IL9R	0	0	0	0	4
ENSG00000172116	TCGA-BLCA	MAFK	0	0	0	0	4
ENSG00000049167	TCGA-BLCA	TUFM	0	0	0	0	4
ENSG00000160862	TCGA-OV	OR7D2	0	0	0	0	4
ENSG00000180938	TCGA-UCEC	SLC35G1	0	0	0	0	4
ENSG00000132321	TCGA-OV	XK	0	0	0	0	4
ENSG00000176783	TCGA-OV	POLR2G	0	0	0	0	4
ENSG00000131558	TCGA-PAAD	FAM43A	0	0	0	0	4
ENSG00000136404	TCGA-PAAD	RBFOX3	0	0	0	0	4
ENSG00000051180	TCGA-PAAD	PMEL	0	0	0	0	4
ENSG00000134760	TCGA-PAAD	MAVS	0	0	0	0	4
ENSG00000089169	TCGA-PAAD	SLC29A3	0	0	0	0	4
ENSG00000213927	TCGA-PAAD	PANK4	0	0	0	0	4
ENSG00000140332	TCGA-PAAD	MPST	0	0	0	0	4
ENSG00000173432	TCGA-LGG	SLC16A9	0	0	0	0	4
ENSG00000151748	TCGA-LGG	PLK1S1	0	0	0	0	4
ENSG00000170374	TCGA-LGG	CDHR1	0	0	0	0	4
ENSG00000100650	TCGA-LGG	HAND2	0	0	0	0	4
ENSG00000250349	TCGA-UCEC	DCUN1D5	0	0	0	0	4
ENSG00000119899	TCGA-UCEC	NLRC3	0	0	0	0	4
ENSG00000244414	TCGA-UCEC	PCDHA4	0	0	0	0	4
ENSG00000180447	TCGA-UCEC	ZPLD1	0	0	0	0	4
ENSG00000115274	TCGA-UCEC	CLRN1	0	0	0	0	4
ENSG00000157106	TCGA-LGG	SLC35D1	0	0	0	0	4
ENSG00000184203	TCGA-LGG	ARPP21	0	0	0	0	4
ENSG00000162620	TCGA-LGG	UCKL1	0	0	0	0	4
ENSG00000121481	TCGA-LGG	GSX2	0	0	0	0	4
ENSG00000176401	TCGA-LGG	SLC22A11	0	0	0	0	4
ENSG00000163738	TCGA-LGG	WDR59	0	0	0	0	4
ENSG00000188419	TCGA-LGG	RANBP1	0	0	0	0	4
ENSG00000186073	TCGA-LGG	MRPL45	0	0	0	0	4
ENSG00000129347	TCGA-LGG	CISD3	0	0	0	0	4
ENSG00000182613	TCGA-LGG	GPD1L	0	0	0	0	4
ENSG00000175894	TCGA-LGG	GCG	0	0	0	0	4
ENSG00000100422	TCGA-LGG	ASPG	0	0	0	0	4
ENSG00000129083	TCGA-LGG	ACO2	0	0	0	0	4
ENSG00000160014	TCGA-LGG	ODC1	0	0	0	0	4
ENSG00000168077	TCGA-BLCA	MOB4	0	0	0	0	4
ENSG00000183091	TCGA-OV	TXNDC17	0	0	0	0	4
ENSG00000087128	TCGA-PRAD	BST2	0	0	0	0	4
ENSG00000159921	TCGA-PRAD	MTFMT	0	0	0	0	4
ENSG00000013588	TCGA-PRAD	FKBP5	0	0	0	0	4
ENSG00000084234	TCGA-PRAD	TARSL2	0	0	0	0	4
ENSG00000132958	TCGA-PRAD	OTOA	0	0	0	0	4
ENSG00000175040	TCGA-PRAD	ZNF235	0	0	0	0	4
ENSG00000175518	TCGA-PRAD	PIH1D2	0	0	0	0	4
ENSG00000158806	TCGA-PRAD	DUPD1	0	0	0	0	4
ENSG00000066926	TCGA-PRAD	NAPB	0	0	0	0	4
ENSG00000120860	TCGA-PRAD	SF3B5	0	0	0	0	4
ENSG00000074755	TCGA-PRAD	SSTR2	0	0	0	0	4
ENSG00000083838	TCGA-PRAD	RP11-1035H13.3	0	0	0	0	4
ENSG00000103257	TCGA-PRAD	UGGT1	0	0	0	0	4
ENSG00000175322	TCGA-PRAD	PTPN21	0	0	0	0	4
ENSG00000169718	TCGA-PRAD	RDH12	0	0	0	0	4
ENSG00000163737	TCGA-PRAD	CT47A6	0	0	0	0	4
ENSG00000159128	TCGA-PRAD	CCR6	0	0	0	0	4
ENSG00000213213	TCGA-PRAD	GSTA2	0	0	0	0	4
ENSG00000127054	TCGA-PRAD	WDR63	0	0	0	0	4
ENSG00000179918	TCGA-PRAD	USP11	0	0	0	0	4
ENSG00000107201	TCGA-PRAD	NLRP5	0	0	0	0	4
ENSG00000160539	TCGA-PRAD	SAA4	0	0	0	0	4
ENSG00000101638	TCGA-PRAD	XRCC1	0	0	0	0	4
ENSG00000204290	TCGA-PRAD	TEKT4	0	0	0	0	4
ENSG00000131437	TCGA-OV	HTR1A	0	0	0	0	4
ENSG00000184178	TCGA-PRAD	GMEB2	0	0	0	0	4
ENSG00000181915	TCGA-PRAD	PSG3	0	0	0	0	4
ENSG00000214655	TCGA-PRAD	DSEL	0	0	0	0	4
ENSG00000139350	TCGA-PRAD	SLC24A4	0	0	0	0	4
ENSG00000137098	TCGA-PRAD	FTSJ3	0	0	0	0	4
ENSG00000205442	TCGA-PRAD	NR2C1	0	0	0	0	4
ENSG00000163406	TCGA-PRAD	FOSL1	0	0	0	0	4
ENSG00000165113	TCGA-PRAD	BBS5	0	0	0	0	4
ENSG00000266074	TCGA-PRAD	HAUS8	0	0	0	0	4
ENSG00000114988	TCGA-PRAD	SERPINB13	0	0	0	0	4
ENSG00000275410	TCGA-PRAD	ZP4	0	0	0	0	4
ENSG00000142002	TCGA-PRAD	XIRP1	0	0	0	0	4
ENSG00000179241	TCGA-PRAD	OR10G7	0	0	0	0	4
ENSG00000185436	TCGA-PRAD	RPS6KB1	0	0	0	0	4
ENSG00000117139	TCGA-PRAD	SPO11	0	0	0	0	4
ENSG00000145526	TCGA-PRAD	MYOM2	0	0	0	0	4
ENSG00000102543	TCGA-PRAD	POMP	0	0	0	0	4
ENSG00000169884	TCGA-PRAD	CYP39A1	0	0	0	0	4
ENSG00000204710	TCGA-PRAD	RGS9BP	0	0	0	0	4
ENSG00000164961	TCGA-PRAD	PRPF40A	0	0	0	0	4
ENSG00000074410	TCGA-PRAD	SAR1A	0	0	0	0	4
ENSG00000137709	TCGA-PRAD	TNFRSF13C	0	0	0	0	4
ENSG00000140459	TCGA-PRAD	G3BP2	0	0	0	0	4
ENSG00000131188	TCGA-PRAD	CLEC16A	0	0	0	0	4
ENSG00000151338	TCGA-UCEC	CACNA1G	0	0	0	0	4
ENSG00000183117	TCGA-UCEC	ORC3	0	0	0	0	4
ENSG00000154734	TCGA-UCEC	SLC4A9	0	0	0	0	4
ENSG00000169188	TCGA-UCEC	VPS33B	0	0	0	0	4
ENSG00000171621	TCGA-UCEC	SPDYE2	0	0	0	0	4
ENSG00000100167	TCGA-UCEC	DOCK9	0	0	0	0	4
ENSG00000131831	TCGA-UCEC	SERPINA6	0	0	0	0	4
ENSG00000139826	TCGA-UCEC	TRMT61A	0	0	0	0	4
ENSG00000129595	TCGA-UCEC	MYOZ3	0	0	0	0	4
ENSG00000111726	TCGA-UCEC	GCC2	0	0	0	0	4
ENSG00000101680	TCGA-UCEC	BCL7B	0	0	0	0	4
ENSG00000272617	TCGA-PRAD	DTX2	0	0	0	0	4
ENSG00000198513	TCGA-OV	TRPV5	0	0	0	0	4
ENSG00000156467	TCGA-OV	NTN3	0	0	0	0	4
ENSG00000186416	TCGA-OV	EXD2	0	0	0	0	4
ENSG00000180884	TCGA-OV	PRPF4	0	0	0	0	4
ENSG00000187730	TCGA-OV	ADCK5	0	0	0	0	4
ENSG00000111321	TCGA-OV	LPPR4	0	0	0	0	4
ENSG00000104368	TCGA-OV	ZNF697	0	0	0	0	4
ENSG00000043462	TCGA-OV	OR2AT4	0	0	0	0	4
ENSG00000106819	TCGA-OV	C15orf59	0	0	0	0	4
ENSG00000053254	TCGA-UCEC	BLNK	0	0	0	0	4
ENSG00000196792	TCGA-UCEC	UPP2	0	0	0	0	4
ENSG00000092929	TCGA-UCEC	SAP130	0	0	0	0	4
ENSG00000139438	TCGA-UCEC	ZFP57	0	0	0	0	4
ENSG00000188676	TCGA-UCEC	FAM170A	0	0	0	0	4
ENSG00000113597	TCGA-UCEC	WWOX	0	0	0	0	4
ENSG00000136634	TCGA-UCEC	SULT1A2	0	0	0	0	4
ENSG00000144057	TCGA-UCEC	PCDHA6	0	0	0	0	4
ENSG00000164897	TCGA-UCEC	POU4F1	0	0	0	0	4
ENSG00000166741	TCGA-UCEC	SEC23B	0	0	0	0	4
ENSG00000164120	TCGA-UCEC	VPS28	0	0	0	0	4
ENSG00000075407	TCGA-UCEC	IER2	0	0	0	0	4
ENSG00000203795	TCGA-UCEC	CSRNP1	0	0	0	0	4
ENSG00000172199	TCGA-UCEC	GH2	0	0	0	0	4
ENSG00000156030	TCGA-UCEC	GALK2	0	0	0	0	4
ENSG00000119950	TCGA-UCEC	EXD2	0	0	0	0	4
ENSG00000176155	TCGA-UCEC	RABGGTB	0	0	0	0	4
ENSG00000274209	TCGA-UCEC	ADAM23	0	0	0	0	4
ENSG00000197081	TCGA-UCEC	MSH4	0	0	0	0	4
ENSG00000212993	TCGA-UCEC	ADAM22	0	0	0	0	4
ENSG00000121350	TCGA-UCEC	U2SURP	0	0	0	0	4
ENSG00000198028	TCGA-UCEC	IMPDH2	0	0	0	0	4
ENSG00000118508	TCGA-UCEC	NPC1	0	0	0	0	4
ENSG00000134489	TCGA-OV	ANKRD6	0	0	0	0	4
ENSG00000111642	TCGA-UCS	CHD4	1	1	0	0	4
ENSG00000148814	TCGA-LIHC	CUL5	0	0	0	0	4
ENSG00000089157	TCGA-BRCA	NPAS2	0	0	0	0	4
ENSG00000258724	TCGA-BRCA	HSD17B6	0	0	0	0	4
ENSG00000166526	TCGA-BRCA	FAM49B	0	0	0	0	4
ENSG00000116701	TCGA-BRCA	ALPL	0	0	0	0	4
ENSG00000005108	TCGA-BRCA	CORO2A	0	0	0	0	4
ENSG00000187581	TCGA-BRCA	GTF2H2C	0	0	0	0	4
ENSG00000240771	TCGA-BRCA	KRT9	0	0	0	0	4
ENSG00000149435	TCGA-BRCA	CNTLN	0	0	0	0	4
ENSG00000019995	TCGA-BRCA	PIR	0	0	0	0	4
ENSG00000285976	TCGA-BRCA	IGF2BP1	0	0	0	0	4
ENSG00000023287	TCGA-BRCA	DDX52	0	0	0	0	4
ENSG00000148334	TCGA-BRCA	OMA1	0	0	0	0	4
ENSG00000151748	TCGA-BRCA	ZDHHC20	0	0	0	0	4
ENSG00000182177	TCGA-BRCA	ZNF451	0	0	0	0	4
ENSG00000106823	TCGA-BRCA	NIPAL4	0	0	0	0	4
ENSG00000076944	TCGA-BRCA	MGAM	0	0	0	0	4
ENSG00000116095	TCGA-BRCA	TSPAN13	0	0	0	0	4
ENSG00000157470	TCGA-HNSC	PEX2	0	0	0	0	4
ENSG00000184697	TCGA-BRCA	TIPIN	0	0	0	0	4
ENSG00000174844	TCGA-BRCA	GRXCR2	0	0	0	0	4
ENSG00000144893	TCGA-BRCA	GPR37	0	0	0	0	4
ENSG00000175826	TCGA-BRCA	SNX15	0	0	0	0	4
ENSG00000140015	TCGA-BRCA	EXO5	0	0	0	0	4
ENSG00000188779	TCGA-BRCA	SOX7	0	0	0	0	4
ENSG00000152669	TCGA-BRCA	TPO	0	0	0	0	4
ENSG00000174842	TCGA-BRCA	SLC2A1	0	0	0	0	4
ENSG00000153048	TCGA-BRCA	MAN1A1	0	0	0	0	4
ENSG00000127328	TCGA-BRCA	RDH12	0	0	0	0	4
ENSG00000163945	TCGA-BRCA	GMPPB	0	0	0	0	4
ENSG00000126787	TCGA-BRCA	TGFBI	0	0	0	0	4
ENSG00000143162	TCGA-BRCA	UGT2B11	0	0	0	0	4
ENSG00000184343	TCGA-BRCA	IMPAD1	0	0	0	0	4
ENSG00000275052	TCGA-BRCA	GH2	0	0	0	0	4
ENSG00000171481	TCGA-BRCA	ZNF705A	0	0	0	0	4
ENSG00000167978	TCGA-BRCA	ZNF248	0	0	0	0	4
ENSG00000203859	TCGA-BRCA	MTHFR	0	0	0	0	4
ENSG00000049656	TCGA-PCPG	SNX10	0	0	0	0	4
ENSG00000158571	TCGA-CHOL	VAPB	0	0	0	0	4
ENSG00000176732	TCGA-CHOL	OSBP	0	0	0	0	4
ENSG00000006715	TCGA-SKCM	SMYD1	0	0	0	0	4
ENSG00000164334	TCGA-PCPG	FBXO30	0	0	0	0	4
ENSG00000135404	TCGA-PCPG	MATR3	0	0	0	0	4
ENSG00000139725	TCGA-PCPG	TLCD2	0	0	0	0	4
ENSG00000170325	TCGA-PCPG	SRRM2	0	0	0	0	4
ENSG00000100095	TCGA-BRCA	PPFIA1	0	0	0	0	4
ENSG00000188508	TCGA-PCPG	CSDE1	0	0	0	0	4
ENSG00000166359	TCGA-PCPG	PELP1	0	0	0	0	4
ENSG00000169344	TCGA-PCPG	LRRC3C	0	0	0	0	4
ENSG00000197530	TCGA-PCPG	CTRL	0	0	0	0	4
ENSG00000176142	TCGA-PCPG	SCFD2	0	0	0	0	4
ENSG00000068366	TCGA-HNSC	PKD1L1	0	0	0	0	4
ENSG00000153982	TCGA-CHOL	TRMT112	0	0	0	0	4
ENSG00000178187	TCGA-CHOL	SLC16A9	0	0	0	0	4
ENSG00000144057	TCGA-CHOL	COG8	0	0	0	0	4
ENSG00000109670	TCGA-CHOL	FBXW7	1	1	0	1	4
ENSG00000169083	TCGA-CHOL	AR	1	1	0	1	4
ENSG00000148153	TCGA-CHOL	STX16	0	0	0	0	4
ENSG00000144724	TCGA-CHOL	C16orf59	0	0	0	0	4
ENSG00000185122	TCGA-CHOL	HOXC6	0	0	0	0	4
ENSG00000123094	TCGA-CHOL	NDUFA9	0	0	0	0	4
ENSG00000196712	TCGA-CHOL	NF1	1	1	0	1	4
ENSG00000161328	TCGA-BRCA	TMEM125	0	0	0	0	4
ENSG00000158815	TCGA-BRCA	CLDND1	0	0	0	0	4
ENSG00000168137	TCGA-BRCA	MARK4	0	0	0	0	4
ENSG00000146385	TCGA-BRCA	AADACL2	0	0	0	0	4
ENSG00000011405	TCGA-BRCA	GTF2F1	0	0	0	0	4
ENSG00000114541	TCGA-BRCA	CKS2	0	0	0	0	4
ENSG00000187764	TCGA-BRCA	SOX13	0	0	0	0	4
ENSG00000137809	TCGA-BRCA	ATP6V1B2	0	0	0	0	4
ENSG00000196664	TCGA-BRCA	TEX36	0	0	0	0	4
ENSG00000164109	TCGA-BRCA	CTXN3	0	0	0	0	4
ENSG00000138646	TCGA-BRCA	MEF2BNB	0	0	0	0	4
ENSG00000162413	TCGA-BRCA	FBXL13	0	0	0	0	4
ENSG00000181963	TCGA-BRCA	PITPNM1	0	0	0	0	4
ENSG00000131626	TCGA-BRCA	TRIM66	0	0	0	0	4
ENSG00000149639	TCGA-BRCA	ALOX15	0	0	0	0	4
ENSG00000173039	TCGA-BRCA	ACP5	0	0	0	0	4
ENSG00000169446	TCGA-BRCA	HBA2	0	0	0	0	4
ENSG00000180822	TCGA-BRCA	KLF10	0	0	0	0	4
ENSG00000165030	TCGA-BRCA	EIF2A	0	0	0	0	4
ENSG00000149596	TCGA-BRCA	GPR160	0	0	0	0	4
ENSG00000205882	TCGA-BRCA	ZNF75A	0	0	0	0	4
ENSG00000111713	TCGA-BRCA	ISPD	0	0	0	0	4
ENSG00000140326	TCGA-BRCA	C6orf211	0	0	0	0	4
ENSG00000213064	TCGA-BRCA	VSTM5	0	0	0	0	4
ENSG00000221858	TCGA-BRCA	COX14	0	0	0	0	4
ENSG00000176853	TCGA-BRCA	PGLYRP2	0	0	0	0	4
ENSG00000125744	TCGA-BRCA	KIF3A	0	0	0	0	4
ENSG00000126264	TCGA-BRCA	RAN	0	0	0	0	4
ENSG00000136696	TCGA-BRCA	SYVN1	0	0	0	0	4
ENSG00000111348	TCGA-BRCA	NRF1	0	0	0	0	4
ENSG00000185966	TCGA-BRCA	PARD6B	0	0	0	0	4
ENSG00000124541	TCGA-BRCA	CAPN11	0	0	0	0	4
ENSG00000139946	TCGA-BRCA	UFD1L	0	0	0	0	4
ENSG00000115183	TCGA-BRCA	SLC7A14	0	0	0	0	4
ENSG00000054654	TCGA-BRCA	SLC13A3	0	0	0	0	4
ENSG00000169905	TCGA-BRCA	PAXIP1	0	0	0	0	4
ENSG00000110484	TCGA-BRCA	NANOS3	0	0	0	0	4
ENSG00000141298	TCGA-BRCA	SFT2D2	0	0	0	0	4
ENSG00000162738	TCGA-BRCA	OR6K2	0	0	0	0	4
